State,Confirmed_Cases,Active_Cases,Recoverd_Cases,Deaths,Tested,Total_Population
Andaman and Nicobar Islands,3132,439,2647,46,33500,417036
Andhra Pradesh,434771,100276,330526,3969,3720000,53903393
Arunachal Pradesh,4112,1220,2885,7,170000,1570458
Assam,109041,23273,85459,306,2260000,35607039
Bihar,136337,16070,119572,694,3190000,124799926
Chandigarh,4346,1857,2431,56,30400,1158473
Chattisgarh,31503,14237,16989,277,580000,2943623
Delhi,174748,14626,155678,4444,1580000,18710922
Goa,17418,3649,13557,192,200000, 1586250
Gujarat,96435,15533,77882,3020,2330000,63872399
Haryana,64732,11371,52672,689,1150000,28204692
Himachal Pradesh,6116,1562,4473,37,210000,7451955
Jammu and Kashmir,37698,7980,29015,703,970000,13606320
Jharkhand,41656,14096,27143,417,910000,38593948
Karnataka,342423,87235,249467,5702,2900000,67562686
Kerala,75386,23488,51538,295,1690000,35699443
Ladakh,2681,773,1874,34,31000,289023
Madhya Pradesh,63965,13914,48657,1394,1380000,85358965
Maharashtra,792541,194056,573559,24583,4150000,12314423
Manipur,6252,1894,4330,28,160000,3091545
Meghalaya,2368,1196,1162,10,89000,3366710
Mizoram,1011,422,589,0,40800,1239244
Nagaland,3950,874,3058,8,60900,2249695
Odisha,103536,25705,77826,545,1790000,46356334
Puducherry,14411,4489,9334,228,76100,1413542
Punjab,53992,15512,37027,1453,1060000,30141373
Rajasthan,81693,13825,66812,1056,2310000,81032689
Sikkim,1652,424,1225,3,41300,690251
Tamil Nadu,428041,52578,368141,7322,4810000,77841267
Telgana,124963,31299,92837,827,1370000,39362732
Tripura,11644,4089,7433,103,270000,4169794
Uttar Pradesh,230414,54788,172140,3486,5490000,237882725
Uttarakhand,19827,5887,13608,269,390000,11250858
West Bengal,162778,25280,134270,3228,1890000,99609303

